Rank;Country;Region;HDI;Life_expec;school_years;GNI_cap;Gender_inequal
1;Norway;Europa;0,955;81,3;12,6;48687,85;0,065
2;Australia;Oceania;0,938;82,0;12,0;34340,47;0,115
3;United States;Americas;0,937;78,7;13,3;43479,97;0,256
4;Netherlands;Europa;0,921;80,8;11,6;37282,00;0,045
5;Germany;Europa;0,920;80,6;12,2;35431,47;0,075
6;New Zealand;Oceania;0,919;80,8;12,5;24357,69;0,164
7;Ireland;Europa;0,916;80,7;11,6;28671,17;0,121
7;Sweden;Europa;0,916;81,6;11,7;36142,66;0,055
9;Switzerland;Europa;0,913;82,5;11,0;40526,67;0,057
10;Japan;Asia Oriental;0,912;83,6;11,6;32544,70;0,131
11;Canada;Americas;0,911;81,1;12,3;35368,76;0,119
12;Korea (Republic of);Asia Oriental;0,909;80,7;11,6;28231,45;0,153
13;Hong Kong, China (SAR);Asia Oriental;0,906;83,0;10,0;45598,43;
13;Iceland;Europa;0,906;81,9;10,4;29176,36;0,089
15;Denmark;Europa;0,901;79,0;11,4;33517,87;0,057
16;Israel;Asia Central y Proximo Oriente;0,900;81,9;11,9;26223,76;0,144
17;Belgium;Europa;0,897;80,0;10,9;33428,53;0,098
18;Austria;Europa;0,895;81,0;10,8;36438,39;0,102
18;Singapore;Asia Oriental;0,895;81,2;10,1;52613,41;0,101
20;France;Europa;0,893;81,7;10,6;30276,67;0,083
21;Finland;Europa;0,892;80,1;10,3;32510,45;0,075
21;Slovenia;Europa;0,892;79,5;11,7;23998,96;0,080
23;Spain;Europa;0,885;81,6;10,4;25946,60;0,103
24;Liechtenstein;Europa;0,883;79,8;10,3;84879,91;
25;Italy;Europa;0,881;82,0;10,1;26157,73;0,094
26;Luxembourg;Europa;0,875;80,1;10,1;48285,38;0,149
26;United Kingdom;Europa;0,875;80,3;9,4;32538,06;0,205
28;Czech Republic;Europa;0,873;77,8;12,3;22066,55;0,122
29;Greece;Europa;0,860;80,0;10,1;20510,89;0,136
30;Brunei Darussalam;Asia Oriental;0,855;78,1;8,6;45690,43;
31;Cyprus;Europa;0,848;79,8;9,8;23825,40;0,134
32;Malta;Europa;0,847;79,8;9,9;21183,89;0,236
33;Andorra;Europa;0,846;81,1;10,4;33918,06;
33;Estonia;Europa;0,846;75,0;12,0;17402,30;0,158
35;Slovakia;Europa;0,840;75,6;11,6;19695,92;0,171
36;Qatar;Asia Central y Proximo Oriente;0,834;78,5;7,3;87477,87;0,546
37;Hungary;Europa;0,831;74,6;11,7;16087,68;0,256
38;Barbados;Americas;0,825;77,0;9,3;17307,90;0,343
39;Poland;Europa;0,821;76,3;10,0;17776,34;0,140
40;Chile;Americas;0,819;79,3;9,7;14986,89;0,360
41;Lithuania;Europa;0,818;72,5;10,9;16857,74;0,157
41;United Arab Emirates;Asia Central y Proximo Oriente;0,818;76,7;8,9;42715,90;0,241
43;Portugal;Europa;0,816;79,7;7,7;19906,86;0,114
44;Latvia;Europa;0,814;73,6;11,5;14724,00;0,216
45;Argentina;Americas;0,811;76,1;9,3;15346,92;0,380
46;Seychelles;Asia Oriental;0,806;73,8;9,4;22615,42;
47;Croatia;Europa;0,805;76,8;9,8;15418,90;0,179
48;Bahrain;Asia Central y Proximo Oriente;0,796;75,2;9,4;19153,53;0,258
49;Bahamas;Americas;0,794;75,9;8,5;27401,19;0,316
50;Belarus;Europa;0,793;70,6;11,5;13385,36;
51;Uruguay;Americas;0,792;77,2;8,5;13332,99;0,367
52;Montenegro;Europa;0,791;74,8;10,5;10470,57;
52;Palau;Oceania;0,791;72,1;12,2;11462,95;
54;Kuwait;Asia Central y Proximo Oriente;0,790;74,7;6,1;52792,64;0,274
55;Russian Federation;Europa;0,788;69,1;11,7;14460,52;0,312
56;Romania;Europa;0,786;74,2;10,4;11010,69;0,327
57;Bulgaria;Europa;0,782;73,6;10,6;11474,06;0,219
57;Saudi Arabia;Asia Central y Proximo Oriente;0,782;74,1;7,8;22615,85;0,682
59;Cuba;Americas;0,780;79,3;10,2;5538,67;0,356
59;Panama;Americas;0,780;76,3;9,4;13518,74;0,503
61;Mexico;Americas;0,775;77,1;8,5;12946,98;0,382
62;Costa Rica;Americas;0,773;79,4;8,4;10862,52;0,346
63;Grenada;Americas;0,770;76,1;8,6;9257,16;
64;Libya;Africa;0,769;75,0;7,3;13764,92;0,216
64;Malaysia;Asia Oriental;0,769;74,5;9,5;13676,18;0,256
64;Serbia;Europa;0,769;74,7;10,2;9533,39;
67;Antigua and Barbuda;Americas;0,760;72,8;8,9;13883,04;
67;Trinidad and Tobago;Americas;0,760;70,3;9,2;21941,09;0,311
69;Kazakhstan;Asia Central y Proximo Oriente;0,754;67,4;10,4;10451,16;0,312
70;Albania;Europa;0,749;77,1;10,4;7822,14;0,251
71;Venezuela (Bolivarian Republic of);Americas;0,748;74,6;7,6;11475,29;0,466
72;Dominica;Americas;0,745;77,6;7,7;10976,98;
72;Georgia;Asia Central y Proximo Oriente;0,745;73,9;12,1;5004,65;0,438
72;Lebanon;Asia Central y Proximo Oriente;0,745;72,8;7,9;12363,64;0,433
72;Saint Kitts and Nevis;Americas;0,745;73,3;8,4;12460,48;
76;Iran (Islamic Republic of);Asia Central y Proximo Oriente;0,742;73,2;7,8;10695,25;0,496
77;Peru;Americas;0,741;74,2;8,7;9305,83;0,387
78;The former Yugoslav Republic of Macedonia;Europa;0,740;75,0;8,2;9376,86;0,162
78;Ukraine;Europa;0,740;68,8;11,3;6428,01;0,338
80;Mauritius;Africa;0,737;73,5;7,2;13300,11;0,377
81;Bosnia and Herzegovina;Europa;0,735;75,8;8,3;7712,78;
82;Azerbaijan;Asia Central y Proximo Oriente;0,734;70,9;11,2;8153,36;0,323
83;Saint Vincent and the Grenadines;Americas;0,733;72,5;8,6;9366,57;
84;Oman;Asia Central y Proximo Oriente;0,731;73,2;5,5;24091,79;0,340
85;Brazil;Americas;0,730;73,8;7,2;10151,85;0,447
85;Jamaica;Americas;0,730;73,3;9,6;6701,47;0,458
87;Armenia;Asia Central y Proximo Oriente;0,729;74,4;10,8;5540,09;0,340
88;Saint Lucia;Americas;0,725;74,8;8,3;7971,07;
89;Ecuador;Americas;0,724;75,8;7,6;7471,33;0,442
90;Turkey;Asia Central y Proximo Oriente;0,722;74,2;6,5;13710,46;0,366
91;Colombia;Americas;0,719;73,9;7,3;8710,80;0,459
92;Sri Lanka;Asia Oriental;0,715;75,1;9,3;5170,29;0,402
93;Algeria;Africa;0,713;73,4;7,6;7417,93;0,391
94;Tunisia;Africa;0,712;74,7;6,5;8102,86;0,261
95;Tonga;Oceania;0,710;72,5;10,3;4153,19;0,462
96;Belize;Americas;0,702;76,3;8,0;5326,67;0,435
96;Dominican Republic;Americas;0,702;73,6;7,2;8506,33;0,508
96;Fiji;Oceania;0,702;69,4;10,7;4087,41;
96;Samoa;Oceania;0,702;72,7;10,3;3928,33;
100;Jordan;Asia Central y Proximo Oriente;0,700;73,5;8,6;5272,05;0,482
